cid,age,job,marital,education,default,balance,housing,loan
1190,34,technician,single,secondary,no,201,no,no
1191,54,retired,divorced,tertiary,no,0,no,no
1192,30,blue-collar,married,secondary,no,6,yes,no
1193,35,entrepreneur,single,secondary,no,475,no,yes
1194,33,blue-collar,single,secondary,no,706,yes,no
1195,36,management,married,secondary,no,1825,yes,no
1196,59,self-employed,married,tertiary,no,185,no,no
1197,72,blue-collar,married,primary,no,4415,no,no
1198,64,management,married,tertiary,no,679,no,no
1199,53,technician,divorced,secondary,no,320,no,no
1200,35,management,single,tertiary,no,2988,yes,no
1201,58,self-employed,married,secondary,no,1407,yes,no
1202,40,technician,married,secondary,no,1270,no,no
1203,41,services,divorced,secondary,no,654,yes,no
1204,48,retired,married,primary,no,5173,yes,no
1205,44,entrepreneur,married,tertiary,no,3463,yes,yes
1206,39,blue-collar,married,unknown,no,0,no,no
1207,61,management,married,tertiary,no,6016,no,no
1208,36,entrepreneur,married,primary,no,177,yes,no
1209,28,management,married,tertiary,no,3694,no,yes
1210,58,retired,single,secondary,no,1640,no,yes
1211,60,admin.,divorced,secondary,no,174,yes,no
1212,66,admin.,single,secondary,no,10177,no,no
1213,36,management,single,tertiary,no,490,no,no
1214,49,self-employed,married,secondary,no,2576,yes,no
1215,40,services,married,secondary,no,0,no,no
1216,23,technician,single,secondary,no,598,no,no
1217,29,management,single,tertiary,no,15459,no,no
1218,44,blue-collar,married,primary,no,271,yes,yes
1219,54,unknown,married,unknown,no,2508,no,no
1220,47,blue-collar,married,primary,no,320,no,no
1221,33,admin.,married,tertiary,no,640,no,no
1222,30,self-employed,married,secondary,no,1772,yes,no
1223,27,admin.,single,secondary,no,15,no,yes
1224,49,management,divorced,tertiary,no,2370,yes,yes
1225,27,services,single,secondary,no,201,yes,no
1226,51,blue-collar,married,secondary,no,160,yes,no
1227,32,admin.,divorced,secondary,yes,5,yes,yes
1228,30,blue-collar,single,secondary,no,75,yes,no
1229,33,admin.,married,secondary,no,4902,yes,no
1230,27,blue-collar,single,primary,no,-79,yes,no
1231,75,retired,divorced,secondary,no,1341,no,no
1232,37,services,divorced,secondary,no,490,yes,no
1233,36,technician,single,secondary,no,1521,yes,no
1234,37,blue-collar,married,secondary,no,131,yes,no
1235,35,management,married,tertiary,no,8,yes,no
1236,32,services,married,secondary,no,-632,yes,yes
1237,32,admin.,single,secondary,no,116,no,yes
1238,35,admin.,married,primary,no,189,yes,no
1239,31,blue-collar,married,primary,no,2,yes,yes
1240,28,blue-collar,single,secondary,no,4229,yes,yes
1241,27,services,married,secondary,no,54,yes,no
1242,22,student,single,unknown,no,549,no,no
1243,35,blue-collar,married,primary,no,298,yes,no
1244,69,retired,married,primary,no,579,no,no
1245,37,entrepreneur,single,tertiary,no,1467,yes,yes
1246,45,admin.,single,secondary,no,0,yes,no
1247,47,management,married,tertiary,no,109,yes,no
1248,52,management,married,tertiary,no,-11,yes,no
1249,33,services,married,secondary,no,90,yes,no
1250,60,blue-collar,married,primary,no,493,no,no
1251,33,management,divorced,secondary,no,1897,yes,yes
1252,44,admin.,married,secondary,no,2403,yes,no
1253,38,entrepreneur,married,secondary,no,868,no,no
1254,54,entrepreneur,married,secondary,no,653,yes,no
1255,32,unemployed,divorced,primary,no,0,no,no
1256,33,technician,married,secondary,no,0,yes,yes
1257,55,services,divorced,secondary,no,218,yes,no
1258,51,blue-collar,married,primary,no,5050,no,yes
1259,48,blue-collar,married,secondary,no,741,yes,no
1260,37,services,single,secondary,no,1050,yes,no
1261,33,services,single,secondary,no,-56,no,yes
1262,30,blue-collar,married,primary,no,1,yes,yes
1263,43,blue-collar,married,primary,no,-98,yes,yes
1264,49,technician,married,secondary,no,4667,yes,no
1265,54,unemployed,married,primary,no,541,yes,no
1266,31,unemployed,married,tertiary,no,7744,no,no
1267,54,unknown,married,unknown,no,895,no,no
1268,36,unemployed,married,secondary,no,-129,yes,no
1269,30,admin.,married,secondary,no,0,no,no
1270,27,technician,single,secondary,no,158,no,no
1271,30,admin.,married,secondary,no,122,yes,no
1272,30,blue-collar,married,secondary,no,673,yes,no
1273,35,technician,divorced,secondary,no,0,no,no
1274,33,services,divorced,secondary,no,411,yes,no
1275,43,blue-collar,divorced,primary,no,-97,yes,yes
1276,41,blue-collar,married,secondary,no,-217,yes,no
1277,41,management,divorced,tertiary,no,5037,no,no
1278,46,admin.,divorced,secondary,no,2232,no,no
1279,54,blue-collar,married,secondary,no,-932,yes,no
1280,32,management,married,tertiary,no,913,yes,no
1281,30,technician,single,tertiary,no,236,yes,no
1282,40,entrepreneur,married,primary,no,0,yes,no
1283,30,blue-collar,married,primary,no,2581,no,no
1284,27,admin.,married,secondary,no,639,no,yes
1285,41,blue-collar,married,primary,no,849,yes,no
1286,54,services,married,secondary,no,386,yes,no
1287,32,management,single,tertiary,no,1218,yes,no
1288,31,management,married,tertiary,no,2603,yes,no
1289,42,blue-collar,married,secondary,no,-921,yes,no
1290,48,admin.,married,primary,no,607,no,no
1291,34,blue-collar,married,primary,no,79,yes,no
1292,55,technician,divorced,secondary,no,61,yes,yes
1293,49,technician,married,secondary,no,1091,no,no
1294,46,management,divorced,tertiary,no,743,no,no
1295,47,entrepreneur,married,unknown,no,209,yes,no
1296,24,management,single,tertiary,no,172,no,no
1297,58,entrepreneur,married,secondary,no,2,no,no
1298,32,management,single,tertiary,no,41,no,no
1299,25,student,single,secondary,no,1116,yes,no
1300,49,blue-collar,married,secondary,no,-55,no,no
1301,59,retired,divorced,secondary,no,5845,no,no
1302,30,management,single,tertiary,no,329,yes,no
1303,46,blue-collar,married,secondary,no,494,yes,no
1304,42,management,married,unknown,no,1519,no,no
1305,37,entrepreneur,married,tertiary,no,2685,no,no
1306,44,blue-collar,married,primary,no,-14,yes,yes
1307,49,services,married,secondary,no,5673,no,yes
1308,41,blue-collar,married,secondary,no,1459,no,no
1309,48,technician,married,tertiary,no,0,no,no
1310,31,management,married,secondary,no,625,yes,no
1311,37,student,married,unknown,no,0,no,no
1312,51,services,married,secondary,no,867,yes,no
1313,80,retired,married,secondary,no,8304,no,no
1314,32,management,single,tertiary,no,151,yes,no
1315,48,services,married,primary,yes,-583,yes,no
1316,49,blue-collar,married,tertiary,no,1784,no,no
1317,30,management,married,tertiary,no,3134,yes,no
1318,27,self-employed,single,secondary,no,49,yes,no
1319,34,technician,married,secondary,no,-346,no,no
1320,49,management,married,secondary,no,1623,yes,no
1321,48,management,married,tertiary,no,60,no,no
1322,40,services,married,secondary,no,17,no,no
1323,38,blue-collar,married,secondary,no,2008,yes,no
1324,46,blue-collar,married,primary,no,91,yes,no
1325,41,entrepreneur,married,tertiary,no,171,yes,no
1326,28,management,single,tertiary,no,1027,yes,no
1327,51,services,married,unknown,no,5801,yes,no
1328,33,blue-collar,divorced,primary,no,142,yes,no
1329,26,management,single,tertiary,no,205,no,no
1330,34,admin.,single,secondary,no,852,no,no
1331,27,blue-collar,married,secondary,yes,-584,yes,no
1332,42,self-employed,married,secondary,no,97,no,no
1333,45,admin.,married,secondary,no,204,yes,no
1334,31,technician,single,secondary,no,628,yes,no
1335,32,management,single,tertiary,no,311,no,no
1336,39,blue-collar,married,primary,no,1564,no,no
1337,26,blue-collar,single,secondary,no,856,yes,yes
1338,40,management,single,tertiary,no,1509,no,no
1339,52,services,married,secondary,no,-888,no,no
1340,40,technician,single,tertiary,no,226,no,no
1341,48,technician,married,secondary,no,127,no,yes
1342,31,services,married,secondary,no,413,yes,no
1343,27,admin.,married,secondary,no,710,yes,yes
1344,47,technician,married,secondary,no,1233,yes,no
1345,28,management,single,secondary,no,171,no,no
1346,40,management,divorced,tertiary,no,69,yes,no
1347,34,admin.,married,secondary,no,1499,yes,no
1348,29,self-employed,married,tertiary,no,751,yes,no
1349,36,management,married,tertiary,no,61,no,yes
1350,83,retired,married,primary,no,425,no,no
1351,55,services,divorced,primary,no,2923,yes,no
1352,43,management,divorced,tertiary,no,99,no,no
1353,23,student,single,secondary,no,1021,no,no
1354,44,technician,married,tertiary,no,1146,no,no
1355,58,blue-collar,married,primary,no,781,yes,no
1356,29,admin.,single,secondary,no,1448,no,no
1357,30,management,single,tertiary,no,604,no,yes
1358,29,admin.,single,secondary,no,-194,yes,no
1359,41,technician,married,secondary,no,0,no,no
1360,35,housemaid,married,primary,no,0,yes,no
1361,31,technician,single,secondary,no,1014,yes,no
1362,27,admin.,single,tertiary,no,73,no,no
1363,47,services,married,secondary,no,2597,yes,no
1364,53,self-employed,married,tertiary,no,2627,yes,yes
1365,34,management,married,tertiary,no,1906,yes,no
1366,34,blue-collar,married,primary,no,-319,yes,yes
1367,36,management,married,tertiary,no,-296,yes,no
1368,40,technician,married,secondary,no,169,yes,no
1369,37,self-employed,single,tertiary,no,556,no,no
1370,65,retired,divorced,unknown,no,300,no,no
1371,53,technician,divorced,secondary,no,751,yes,no
1372,28,technician,single,secondary,no,126,no,no
1373,33,technician,divorced,tertiary,no,-386,yes,no
1374,56,blue-collar,married,primary,no,379,no,no
1375,45,self-employed,married,secondary,no,706,no,no
1376,39,technician,married,secondary,no,9121,no,no
1377,28,management,single,tertiary,no,1466,yes,no
1378,36,blue-collar,married,primary,no,0,yes,no
1379,41,blue-collar,married,primary,no,951,yes,no
1380,46,admin.,married,secondary,no,368,no,no
1381,41,blue-collar,married,secondary,no,121,yes,no
1382,59,services,married,secondary,no,204,no,no
1383,24,admin.,married,secondary,no,299,yes,no
1384,34,management,married,tertiary,no,4170,yes,no
1385,40,blue-collar,married,primary,no,-335,yes,no
1386,42,admin.,married,secondary,no,3165,yes,no
1387,50,services,married,secondary,no,254,yes,no
1388,25,management,single,tertiary,no,553,yes,no
1389,51,services,divorced,secondary,no,518,yes,no
1390,50,management,married,tertiary,no,85,no,yes
1391,37,blue-collar,married,unknown,no,603,yes,no
1392,21,services,single,secondary,no,361,no,no
1393,52,blue-collar,married,secondary,no,-98,yes,no
1394,55,retired,married,primary,no,4424,no,no
1395,26,technician,single,secondary,no,2610,yes,yes
1396,38,technician,married,tertiary,no,3234,no,no
1397,32,blue-collar,married,secondary,no,687,yes,no
1398,31,blue-collar,married,secondary,no,631,yes,no
1399,34,technician,single,secondary,no,341,no,yes
1400,33,technician,single,tertiary,no,316,no,no
1401,35,technician,married,secondary,no,2,no,no
1402,44,management,married,unknown,no,415,yes,no
1403,48,management,divorced,tertiary,no,507,yes,no
1404,29,blue-collar,married,secondary,no,912,yes,no
1405,50,management,married,tertiary,no,0,no,no
1406,37,blue-collar,married,primary,no,37,yes,no
1407,44,admin.,single,secondary,no,2524,no,no
1408,36,unemployed,single,tertiary,no,9019,yes,no
1409,49,blue-collar,divorced,unknown,no,39,yes,no
1410,31,blue-collar,married,secondary,no,0,yes,no
1411,49,technician,divorced,secondary,no,265,yes,no
1412,35,blue-collar,single,secondary,no,0,yes,no
1413,57,admin.,divorced,unknown,no,4012,no,no
1414,42,blue-collar,married,primary,no,1520,yes,no
1415,36,blue-collar,divorced,secondary,no,-140,yes,no
1416,75,retired,divorced,primary,no,852,no,no
1417,38,blue-collar,single,secondary,no,578,yes,no
1418,40,blue-collar,married,primary,yes,0,yes,no
1419,38,services,single,secondary,no,2253,yes,no
1420,34,management,single,tertiary,no,1171,yes,no
1421,29,technician,single,tertiary,no,452,yes,no
1422,28,admin.,married,secondary,no,-97,yes,no
1423,79,retired,married,secondary,no,4738,no,no
1424,51,admin.,divorced,secondary,no,467,yes,no
1425,32,student,single,tertiary,no,0,no,no
1426,36,management,married,tertiary,no,495,no,no
1427,38,entrepreneur,married,secondary,no,157,no,yes
1428,49,self-employed,married,secondary,no,358,yes,yes
1429,42,services,married,secondary,no,292,yes,no
1430,43,blue-collar,married,primary,no,7343,yes,no
1431,34,blue-collar,married,secondary,no,-563,yes,no
1432,59,retired,single,secondary,no,351,yes,no
1433,35,unknown,married,primary,no,365,no,no
1434,33,blue-collar,single,secondary,no,13494,yes,no
1435,34,admin.,single,secondary,no,846,yes,no
1436,64,retired,married,secondary,no,1574,no,no
1437,34,entrepreneur,married,tertiary,no,-28,yes,no
1438,77,retired,married,tertiary,no,0,no,no
1439,57,retired,married,primary,no,2927,no,yes
1440,30,blue-collar,married,secondary,no,501,yes,yes
1441,56,housemaid,divorced,primary,yes,1238,no,no
1442,49,unknown,married,unknown,no,301,no,no
1443,73,retired,married,primary,no,1388,no,no
1444,39,technician,single,secondary,no,102,yes,no
1445,57,technician,divorced,primary,no,13,yes,no
1446,32,self-employed,married,secondary,no,413,yes,no
1447,32,technician,single,tertiary,no,4665,yes,no
1448,45,admin.,married,secondary,no,638,yes,no
1449,32,blue-collar,married,secondary,no,101,yes,no
1450,31,management,married,tertiary,no,1224,yes,yes
1451,49,self-employed,married,secondary,no,1103,no,no
1452,29,services,married,secondary,no,3748,no,no
1453,55,technician,married,secondary,no,955,yes,no
1454,30,admin.,married,secondary,no,518,yes,no
1455,45,services,single,primary,no,1893,yes,no
1456,39,technician,married,tertiary,no,14,no,no
1457,36,admin.,married,secondary,no,-423,yes,yes
1458,33,management,married,tertiary,no,3696,no,no
1459,36,management,married,tertiary,no,2987,yes,no
1460,31,technician,single,secondary,no,433,no,no
1461,36,technician,married,unknown,no,756,no,no
1462,38,technician,single,tertiary,no,0,yes,no
1463,33,unknown,married,secondary,no,2727,no,no
1464,40,technician,married,secondary,no,93,yes,no
1465,31,blue-collar,married,secondary,no,1766,no,yes
1466,39,services,married,secondary,no,124,yes,no
1467,33,admin.,married,tertiary,no,69,no,yes
1468,53,services,divorced,secondary,no,0,no,no
1469,38,management,married,tertiary,no,0,yes,no
1470,59,technician,married,secondary,no,259,no,no
1471,55,blue-collar,married,primary,no,4103,no,no
1472,38,technician,single,tertiary,no,744,yes,no
1473,48,services,married,secondary,no,116,yes,no
1474,53,blue-collar,married,secondary,no,70,yes,no
1475,44,admin.,divorced,secondary,no,432,no,no
1476,57,management,married,tertiary,no,1172,no,no
1477,29,blue-collar,single,secondary,no,9,yes,no
1478,31,services,married,secondary,no,428,yes,no
1479,35,technician,single,tertiary,no,7546,yes,no
1480,31,blue-collar,married,primary,no,620,no,no
1481,35,self-employed,married,tertiary,no,8647,no,no
1482,40,management,single,secondary,no,192,yes,no
1483,39,blue-collar,married,secondary,no,0,yes,no
1484,43,technician,single,tertiary,no,27733,yes,no
1485,44,entrepreneur,married,primary,no,276,yes,yes
1486,29,technician,single,secondary,no,113,no,no
1487,40,technician,married,secondary,no,782,yes,no
1488,33,entrepreneur,married,primary,no,82,yes,no
1489,46,management,married,tertiary,no,1008,no,no
1490,27,unknown,single,tertiary,no,6421,no,no
1491,26,admin.,single,secondary,no,443,no,no
1492,41,technician,married,secondary,no,351,yes,no
1493,34,technician,married,tertiary,no,5060,yes,no
1494,39,technician,single,tertiary,no,-41,no,yes
1495,27,services,single,secondary,no,-124,no,no
1496,31,blue-collar,married,secondary,no,79,yes,yes
1497,44,unemployed,single,secondary,no,3945,no,no
1498,55,retired,married,tertiary,no,197,no,yes
1499,51,blue-collar,divorced,primary,no,837,no,no
1500,50,management,married,tertiary,no,-94,no,yes
1501,30,services,married,secondary,no,1743,yes,no
1502,46,technician,married,secondary,no,57,no,no
1503,49,admin.,married,secondary,no,635,no,no
1504,56,retired,married,secondary,no,-113,yes,yes
1505,47,admin.,divorced,secondary,no,225,no,no
1506,30,admin.,married,secondary,no,124,no,no
1507,36,entrepreneur,single,secondary,no,475,no,no
1508,40,management,married,tertiary,no,-7,no,yes
1509,37,technician,single,secondary,yes,375,no,no
1510,42,admin.,divorced,secondary,no,936,no,no
1511,45,technician,married,secondary,no,1415,yes,no
1512,34,unemployed,single,secondary,no,0,no,no
1513,27,admin.,single,secondary,no,3638,no,no
1514,30,blue-collar,married,secondary,no,-99,yes,no
1515,32,technician,married,secondary,no,167,yes,yes
1516,46,housemaid,married,primary,no,19,yes,no
1517,29,self-employed,married,tertiary,no,242,yes,no
1518,53,unknown,married,unknown,no,13,no,no
1519,32,technician,married,secondary,no,286,no,no
1520,49,unemployed,married,secondary,no,769,yes,no
1521,35,management,married,tertiary,no,93,no,no
1522,38,blue-collar,married,secondary,no,1663,yes,no
1523,39,entrepreneur,married,primary,no,238,yes,yes
1524,34,technician,single,secondary,no,2178,yes,no
1525,42,blue-collar,married,primary,no,792,yes,yes
1526,35,blue-collar,single,unknown,no,871,yes,no
1527,60,admin.,married,secondary,no,1025,no,no
1528,57,technician,divorced,secondary,no,63,yes,no
1529,31,blue-collar,single,secondary,no,16,no,no
1530,29,management,single,secondary,no,417,no,no
1531,41,services,married,secondary,no,3992,yes,no
1532,46,blue-collar,married,primary,no,2749,yes,no
1533,33,technician,married,secondary,no,133,no,no
1534,32,blue-collar,single,secondary,no,1721,yes,no
1535,54,management,divorced,tertiary,no,2171,yes,yes
1536,37,services,married,secondary,no,4760,yes,no
1537,32,technician,single,secondary,no,2979,no,no
1538,43,management,married,tertiary,no,690,yes,no
1539,50,blue-collar,divorced,secondary,no,203,yes,no
1540,34,blue-collar,married,secondary,no,322,yes,no
1541,31,admin.,divorced,secondary,no,1210,no,no
1542,43,self-employed,married,secondary,no,634,yes,no
1543,49,entrepreneur,married,secondary,no,273,no,no
1544,22,student,single,unknown,no,47,no,no
1545,35,management,married,tertiary,no,1100,no,yes
1546,56,admin.,married,secondary,no,0,yes,no
1547,53,blue-collar,married,secondary,no,0,no,no
1548,54,entrepreneur,married,tertiary,no,1544,no,yes
1549,32,services,single,unknown,no,6145,yes,no
1550,41,self-employed,married,secondary,no,28,yes,no
1551,40,blue-collar,married,secondary,no,1012,yes,no
1552,33,blue-collar,married,primary,no,245,yes,yes
1553,33,management,single,tertiary,no,1998,no,no
1554,34,blue-collar,married,secondary,no,3990,yes,no
1555,36,services,married,secondary,no,1328,yes,no
1556,34,entrepreneur,married,tertiary,no,412,yes,yes
1557,55,management,married,primary,no,229,no,yes
1558,28,student,single,tertiary,no,1562,no,no
1559,29,admin.,single,secondary,no,3432,yes,no
1560,31,admin.,single,secondary,no,144,yes,no
1561,52,management,married,tertiary,no,1339,yes,no
1562,54,services,married,unknown,no,386,no,yes
1563,43,blue-collar,married,primary,no,7727,yes,no
1564,55,entrepreneur,married,secondary,no,204,no,no
1565,28,blue-collar,divorced,unknown,no,101,yes,no
1566,45,unemployed,divorced,secondary,no,728,yes,yes
1567,45,entrepreneur,married,primary,no,2418,yes,no
1568,51,management,married,tertiary,no,2934,yes,no
1569,42,technician,single,secondary,no,0,yes,no
1570,43,unknown,single,unknown,no,181,no,no
1571,34,management,married,tertiary,no,176,no,no
1572,36,blue-collar,married,primary,no,49,yes,no
1573,37,blue-collar,married,secondary,no,2023,yes,no
1574,50,blue-collar,married,secondary,no,372,yes,no
1575,42,management,divorced,unknown,no,7702,no,no
1576,34,blue-collar,single,primary,no,464,yes,no
1577,48,management,married,secondary,no,117,yes,no
1578,47,admin.,married,secondary,no,104,yes,yes
1579,40,management,married,tertiary,no,1041,yes,no
1580,37,management,married,tertiary,no,539,no,no
1581,38,blue-collar,married,primary,no,0,yes,no
1582,29,technician,single,tertiary,no,406,yes,no
1583,46,blue-collar,married,primary,no,2558,yes,no
1584,26,blue-collar,married,secondary,no,484,yes,no
1585,30,services,single,tertiary,no,3516,yes,no
1586,42,blue-collar,married,secondary,no,5639,yes,no
1587,42,management,single,tertiary,no,100,no,no
1588,31,admin.,single,secondary,no,1306,yes,no
1589,37,management,single,tertiary,no,815,yes,no
1590,26,blue-collar,married,secondary,no,245,yes,no
1591,54,blue-collar,married,unknown,no,191,no,no
1592,70,retired,married,secondary,no,2815,no,no
1593,29,self-employed,single,secondary,no,3672,yes,yes
1594,50,services,married,secondary,no,1572,yes,no
1595,60,unemployed,divorced,secondary,no,385,yes,no
1596,32,technician,single,secondary,no,29,no,no
1597,32,technician,married,secondary,no,84,no,yes
1598,34,self-employed,single,tertiary,no,876,yes,no
1599,48,services,single,primary,no,1499,yes,no
1600,25,student,married,tertiary,no,0,yes,no
1601,32,management,married,secondary,no,6217,yes,yes
1602,32,blue-collar,married,primary,no,329,yes,no
1603,47,admin.,divorced,secondary,no,162,yes,no
1604,32,technician,married,unknown,no,14533,no,no
1605,49,management,single,tertiary,no,151,yes,no
1606,53,services,married,secondary,no,-2,yes,yes
1607,41,blue-collar,single,unknown,no,4684,no,no
1608,47,management,divorced,tertiary,no,1149,no,yes
1609,35,blue-collar,married,primary,no,11,yes,no
1610,33,management,single,secondary,no,8004,no,no
1611,49,blue-collar,married,primary,no,1019,yes,no
1612,46,management,divorced,tertiary,no,1297,no,no
1613,29,management,divorced,tertiary,no,415,yes,yes
1614,58,self-employed,married,primary,no,671,yes,no
1615,40,admin.,single,secondary,no,2378,yes,no
1616,34,management,married,tertiary,no,417,yes,no
1617,60,retired,married,primary,no,71,no,no
1618,43,management,married,tertiary,no,1188,no,no
1619,50,blue-collar,married,primary,no,8139,yes,no
1620,33,blue-collar,married,secondary,no,249,yes,no
1621,37,blue-collar,married,primary,no,689,yes,no
1622,55,self-employed,married,secondary,no,203,yes,no
1623,45,blue-collar,single,primary,yes,-183,no,yes
1624,47,blue-collar,married,primary,no,3451,no,yes
1625,58,technician,married,secondary,no,116,no,no
1626,36,services,married,secondary,no,1746,yes,no
1627,55,technician,married,secondary,no,0,yes,no
1628,31,blue-collar,married,secondary,no,897,yes,no
1629,38,technician,married,secondary,no,821,yes,yes
1630,42,blue-collar,married,secondary,no,130,yes,no
1631,32,management,divorced,tertiary,no,1,yes,no
1632,39,blue-collar,married,secondary,no,8,no,no
1633,41,technician,married,secondary,no,55,yes,no
1634,59,blue-collar,married,primary,no,699,no,no
1635,42,unemployed,divorced,secondary,no,759,no,no
1636,33,blue-collar,married,secondary,no,687,yes,no
1637,53,retired,married,secondary,no,4968,no,no
1638,43,blue-collar,married,primary,no,1211,yes,no
1639,39,self-employed,single,tertiary,no,426,no,no
1640,27,entrepreneur,single,secondary,no,376,yes,yes
1641,39,management,married,tertiary,no,12,yes,no
1642,27,blue-collar,single,secondary,no,23,no,no
1643,33,admin.,married,secondary,no,353,yes,no
1644,29,services,divorced,secondary,no,330,yes,no
1645,33,management,divorced,tertiary,no,0,no,no
1646,41,entrepreneur,married,secondary,no,353,no,no
1647,38,technician,single,tertiary,no,2273,yes,no
1648,30,management,married,tertiary,no,0,yes,no
1649,58,unemployed,married,tertiary,no,744,no,no
1650,37,services,single,secondary,no,608,no,no
1651,36,admin.,divorced,secondary,no,356,yes,no
1652,45,blue-collar,married,primary,no,1291,yes,no
1653,23,technician,single,secondary,no,-306,yes,no
1654,53,blue-collar,married,primary,no,306,no,no
1655,44,blue-collar,married,primary,no,-312,yes,no
1656,32,technician,single,secondary,no,493,no,no
1657,32,management,married,tertiary,no,71,yes,no
1658,38,admin.,married,tertiary,no,669,yes,yes
1659,47,blue-collar,married,primary,no,556,yes,no
1660,34,services,single,secondary,no,84,yes,no
1661,52,services,married,secondary,no,108,yes,no
1662,45,admin.,single,secondary,no,-11,yes,no
1663,50,blue-collar,married,primary,no,1164,yes,no
1664,52,blue-collar,divorced,primary,no,-191,yes,no
1665,37,blue-collar,married,secondary,no,132,no,no
1666,51,blue-collar,married,secondary,no,2237,yes,no
1667,32,management,married,tertiary,no,4761,yes,no
1668,33,blue-collar,married,secondary,no,-346,yes,yes
1669,28,unemployed,married,secondary,no,655,yes,no
1670,66,management,married,tertiary,no,1048,yes,no
1671,31,services,single,secondary,no,0,yes,no
1672,35,blue-collar,married,primary,no,624,yes,no
1673,47,services,single,unknown,no,1784,no,no
1674,36,admin.,single,secondary,no,1281,no,no
1675,32,technician,single,tertiary,no,569,no,yes
1676,34,blue-collar,married,primary,no,1666,yes,no
1677,40,admin.,married,secondary,no,168,yes,no
1678,33,self-employed,married,tertiary,no,263,no,no
1679,39,blue-collar,married,secondary,no,-405,yes,no
1680,38,self-employed,married,secondary,no,279,yes,no
1681,32,technician,single,secondary,no,0,no,no
1682,65,unknown,married,unknown,no,300,no,no
1683,34,unemployed,single,tertiary,no,415,no,no
1684,34,admin.,single,primary,no,0,yes,yes
1685,42,blue-collar,single,primary,no,1322,yes,yes
1686,31,services,married,secondary,no,1062,yes,yes
1687,47,technician,married,secondary,no,302,yes,no
1688,44,technician,divorced,secondary,no,809,yes,no
1689,38,housemaid,married,secondary,no,-278,yes,no
1690,28,management,single,tertiary,no,3238,yes,no
1691,46,admin.,single,secondary,no,751,yes,no
1692,51,blue-collar,divorced,primary,no,-28,no,yes
1693,42,management,divorced,tertiary,no,0,no,no
1694,37,technician,single,secondary,no,2442,no,no
1695,58,unemployed,married,tertiary,no,1798,yes,no
1696,43,admin.,married,secondary,no,132,no,no
1697,36,management,single,tertiary,no,260,yes,no
1698,34,blue-collar,married,secondary,no,7,yes,yes
1699,31,management,single,tertiary,no,3283,no,no
1700,49,technician,married,unknown,no,323,yes,no
1701,54,management,married,tertiary,no,2960,yes,no
1702,29,unemployed,single,secondary,no,486,no,no
1703,51,retired,divorced,secondary,no,343,yes,no
1704,40,unemployed,divorced,secondary,no,507,yes,no
1705,35,management,single,tertiary,no,5958,yes,no
1706,25,student,single,secondary,no,304,no,no
1707,32,blue-collar,single,secondary,no,118,yes,no
1708,30,self-employed,married,secondary,no,123,no,yes
1709,38,management,married,tertiary,no,76,yes,no
1710,46,admin.,married,secondary,no,70,yes,no
1711,43,unemployed,married,primary,no,960,yes,yes
1712,32,technician,single,tertiary,no,2185,no,no
1713,29,blue-collar,single,secondary,no,309,yes,no
1714,56,blue-collar,married,secondary,no,2190,no,yes
1715,57,technician,married,primary,no,0,no,no
1716,38,admin.,married,secondary,no,3732,yes,no
1717,51,technician,married,primary,no,1550,no,no
1718,35,admin.,single,tertiary,no,62,no,yes
1719,37,blue-collar,married,primary,no,704,no,no
1720,48,management,married,secondary,no,4415,yes,no
1721,30,blue-collar,single,secondary,yes,4,yes,no
1722,60,retired,married,secondary,no,262,no,no
1723,56,management,married,secondary,no,238,yes,no
1724,45,blue-collar,married,primary,no,97,yes,no
1725,38,technician,divorced,secondary,no,410,no,no
1726,20,student,single,secondary,no,1191,no,no
1727,59,retired,married,primary,no,-47,yes,no
1728,34,technician,married,tertiary,no,197,no,no
1729,36,blue-collar,married,unknown,no,6,no,no
1730,53,admin.,single,secondary,no,2398,yes,no
1731,51,management,married,tertiary,no,630,yes,no
1732,58,retired,married,secondary,no,235,no,no
1733,48,management,married,primary,no,1910,yes,no
1734,56,management,married,tertiary,no,3172,yes,no
1735,51,blue-collar,married,primary,no,872,no,no
1736,35,blue-collar,married,secondary,no,407,yes,no
1737,40,admin.,single,secondary,no,100,yes,no
1738,59,housemaid,married,secondary,no,345,no,no
1739,44,management,divorced,tertiary,no,2058,no,yes
1740,49,housemaid,married,primary,no,889,no,no
1741,35,admin.,married,tertiary,no,0,yes,no
1742,41,management,married,tertiary,no,51,no,no
1743,55,retired,married,primary,no,150,no,no
1744,51,self-employed,married,secondary,yes,34,no,yes
1745,27,services,single,secondary,no,795,no,no
1746,57,blue-collar,married,primary,no,282,no,yes
1747,51,management,single,tertiary,no,2139,no,no
1748,38,management,married,tertiary,no,-469,yes,no
1749,49,admin.,married,secondary,no,197,yes,no
1750,40,technician,single,tertiary,no,825,yes,no
1751,47,housemaid,single,tertiary,no,3232,no,no
1752,48,management,divorced,secondary,no,1598,yes,no
1753,47,services,married,tertiary,no,871,no,no
1754,56,services,married,secondary,no,83,no,no
1755,29,management,single,tertiary,no,1445,no,no
1756,38,technician,married,secondary,no,226,yes,no
1757,32,management,married,tertiary,no,-55,yes,no
1758,42,admin.,single,secondary,no,243,yes,no
1759,30,blue-collar,married,primary,no,-336,no,no
1760,26,admin.,single,tertiary,no,3672,yes,no
1761,35,technician,married,secondary,no,0,yes,no
1762,35,technician,married,secondary,no,251,yes,yes
